;;Objetivo;Objetivo;Objetivo;Objetivo;Objetivo;Gap;Gap;Gap;Gap;Gap;Tiempo;Tiempo;Tiempo;Tiempo;Tiempo
;;count;mean;std;min;max;count;mean;std;min;max;count;mean;std;min;max
Escenario;Config;;;;;;;;;;;;;;;
Archivo;Config;1;0.0;;0.0;0.0;1;0.0;;0.0;0.0;1;0.0;;0.0;0.0
run_200p_ADR;Limite_20s;30;15205.59;2151.57;10572.52;19039.52;30;0.03;0.03;0.0;0.15;30;14.87;7.74;1.41;20.14
run_200p_ADR;Limite_300s;30;15204.15;2151.88;10572.52;19039.52;30;0.0;0.0;0.0;0.01;30;33.28;53.43;1.4;300.23
run_200p_ADR;Limite_60s;30;15204.15;2151.88;10572.52;19039.52;30;0.0;0.0;0.0;0.01;30;24.68;18.42;1.38;60.15
run_200p_normal;Limite_20s;30;9263.42;2151.7;5757.5;14715.0;30;0.25;0.22;0.0;0.77;30;18.2;4.39;6.17;20.19
run_200p_normal;Limite_300s;30;8829.4;2283.27;5466.5;14715.0;30;0.06;0.11;0.0;0.4;30;196.24;130.97;6.15;300.27
run_200p_normal;Limite_60s;30;9021.17;2218.95;5474.0;14715.0;30;0.15;0.17;0.0;0.55;30;49.77;19.57;6.12;60.26
run_200p_pesado;Limite_20s;30;27356.2;2433.88;22365.0;33299.5;30;0.16;0.06;0.08;0.29;30;20.17;0.06;20.1;20.31
run_200p_pesado;Limite_300s;30;26359.77;2452.44;20729.0;33239.5;30;0.05;0.06;0.0;0.22;30;280.59;54.82;78.41;300.45
run_200p_pesado;Limite_60s;30;26603.47;2408.58;20730.0;33242.0;30;0.13;0.05;0.05;0.24;30;60.19;0.06;60.1;60.3
